,Gene Name
5154,CTLA4
5155,CCDC89
5156,ZNF596
5157,HMHB1
5158,UPB1
5159,SERPINB10
5160,PDXK
5161,AL669918.1
5162,NRL
5163,MOB3A
5164,RAPGEF5
5165,SEMA3D
5166,AHNAK2
5167,HDAC7
5168,KMO
5169,ST18
5170,FABP7
5171,PABPC5
5172,SPAG4
5173,EFNB3
5174,WDR75
5175,TLK2
5176,NEURL2
5177,PWWP2A
5178,BMP7
5179,MPI
5180,ZSCAN2
5181,BX255925.3
5182,SLC22A8
5183,PFN2
5184,CLMN
5185,SPNS1
5186,RAD23A
5187,AC010132.3
5188,PRR36
5189,MMP23B
5190,SRSF6
5191,KIF3C
5192,SP7
5193,ZNF444
5194,CYP26B1
5195,NRIP1
5196,SMIM24
5197,RRH
5198,FAM20C
5199,MRPL21
5200,CCDC34
5201,HSD17B8
5202,TVP23A
5203,FAM45A
5204,SLC25A18
5205,EED
5206,PIPOX
5207,STXBP6
5208,PPTC7
5209,TXLNG
5210,TENM2
5211,FBXL16
5212,SEMA6A
5213,FAM173A
5214,ADPRHL1
5215,FOXL1
5216,PSMG1
5217,HEYL
5218,NLK
5219,NDUFA5
5220,EPHA7
5221,CFD
5222,HDAC11
5223,EDA2R
5224,F2R
5225,NMU
5226,WDR4
5227,ADM5
5228,LNPEP
5229,SRD5A1
5230,FGF19
5231,ABR
5232,S100A6
5233,FAM240B
5234,GIMAP6
5235,TNIP3
5236,TIPIN
5237,CER1
5238,KLRC4-KLRK1
5239,FNDC8
5240,CLRN1
5241,USP46
5242,KMT2C
5243,DUSP14
5244,APBA3
5245,PPP1R1A
5246,ADAMTS18
5247,SNX17
5248,AC010616.1
5249,STK11
5250,FAM131A
5251,DDX28
5252,NAXD
5253,SUDS3
5254,IGHV3-30
5255,REST
5256,CAGE1
5257,ADAM32
5258,SMCO2
5259,FBXO3
5260,MYO7A
5261,PMEL
5262,NRDE2
5263,UQCRC2
5264,NUP62
5265,TET1
5266,MTRF1L
5267,CLIC4
5268,ZNF446
5269,PRCC
5270,OPRM1
5271,CASR
5272,CAPN11
5273,HTR3B
5274,ARNTL2
5275,CACNA1S
5276,AC011043.2
5277,NOL12
5278,LAS1L
5279,ACOT6
5280,C3orf36
5281,SPOPL
5282,DGCR2
5283,RAC1
5284,CD79B
5285,TMEM185B
5286,UTF1
5287,FGF6
5288,THRSP
5289,DUOXA1
5290,CXorf65
5291,ZNF239
5292,FBRS
5293,C5orf49
5294,RAX
5295,TRAPPC2L
5296,DAGLB
5297,TRIM66
5298,MTERF3
5299,CEP250
5300,DNALI1
5301,CHST3
5302,EXOC6B
5303,SLC2A4RG
5304,SPATA16
5305,VIP
5306,C4orf36
5307,SAA2
5308,AP4M1
5309,ADGRL2
5310,PI16
5311,MANF
5312,LYST
5313,MRPL48
5314,RAB40B
5315,SUMF2
5316,FBXO6
5317,ZHX2
5318,PCDHB7
5319,EIF2D
5320,CENPM
5321,ANKRD22
5322,PSEN1
5323,GHR
5324,CORT
5325,ITPKA
5326,PRKAR1B
5327,RPL17-C18orf32
5328,PPP1R37
5329,SCLT1
5330,MARCH11
5331,MS4A4E
5332,MTRNR2L7
5333,SSPO
5334,CCDC174
5335,CLMP
5336,HIGD1A
5337,RNF219
5338,LIMK1
5339,MAN2C1
5340,FAM193B
5341,KIF15
5342,GCOM1
5343,MAFB
5344,HIST1H4E
5345,CACNA2D4
5346,NLRP14
5347,CEP85L
5348,ECI1
5349,WFIKKN2
5350,TTC30B
5351,WNT16
5352,MRPL43
5353,ARHGAP5
5354,FNBP1
5355,RNF214
5356,CASP10
5357,AL451062.3
5358,TIMM50
5359,RIBC1
5360,ADAR
5361,PRPF3
5362,CCDC87
5363,UBE2M
5364,TEX101
5365,NR5A1
5366,SLC39A9
5367,SPACA1
5368,PROCA1
5369,TOMM20L
5370,ZWILCH
5371,NPIPB8
5372,NUTM2B
5373,ELMOD3
5374,SNX12
5375,YIPF3
5376,OLIG1
5377,WDR53
5378,PRR14
5379,IGKJ3
5380,TOB1
5381,BNIPL
5382,PKP3
5383,TMEM114
5384,AAK1
5385,EHD1
5386,RNF17
5387,SLC16A1
5388,RBMY1J
5389,FBXO32
5390,ZNF24
5391,PRR19
5392,JCHAIN
5393,HIST3H2A
5394,TTF1
5395,IFFO2
5396,ARHGDIB
5397,NSFL1C
5398,PHOX2B
5399,OR8D4
5400,IL1RAPL1
5401,SEC63
5402,GRIN2B
5403,KIF21B
5404,FAM53C
5405,ADGRF3
5406,IL2RA
5407,EDRF1
5408,C18orf63
5409,GAR1
5410,POLK
5411,BAALC
5412,OSBPL7
5413,NIPSNAP3B
5414,ZSCAN20
5415,MYO5C
5416,CTAGE4
5417,OC90
5418,CACNA1I
5419,TRAPPC8
5420,RNF112
5421,BRDT
5422,RFLNB
5423,USP13
5424,CD163L1
5425,TMEM190
5426,EEF1A1
5427,LRG1
5428,NUDT18
5429,UROS
5430,EPHA4
5431,APOH
5432,NYX
5433,RUSC1
5434,IDE
5435,ART4
5436,NEURL1
5437,KBTBD6
5438,MDP1
5439,RAB2B
5440,NPC2
5441,SLC7A3
5442,C2CD2L
5443,ZNF182
5444,CST7
5445,AC006538.2
5446,SLC28A1
5447,GALNT14
5448,TMPRSS11A
5449,DPH1
5450,DSC2
5451,RMND5B
5452,LILRB2
5453,AC006978.2
5454,DYRK4
5455,PRKAA2
5456,KCNJ6
5457,SCHIP1
5458,TRIM7
5459,SULT1A4
5460,CCR6
5461,C19orf38
5462,ADH4
5463,ADSS
5464,VAC14
5465,RALGPS2
5466,DDX52
5467,FAF2
5468,GMPR
5469,NCBP2
5470,HTR1E
5471,WSCD2
5472,SLC24A2
5473,NID2
5474,AC079594.2
5475,WDR83OS
5476,JADE2
5477,UBE2B
5478,ATP5MD
5479,SLC9A3R1
5480,HIBADH
5481,PRICKLE2
5482,KPNA6
5483,ATL1
5484,TCF24
5485,MCM6
5486,ZNF69
5487,GDA
5488,IGKV1D-17
5489,BAG6
5490,PPP1CA
5491,NBPF19
5492,PPP1CB
5493,C10orf88
5494,FSTL1
5495,RAB43
5496,RBM20
5497,DLAT
5498,TTC14
5499,TRMT5
5500,SMARCA2
5501,SYT17
5502,TTLL12
5503,KIAA1671
5504,ZNF512
5505,BVES
5506,EDEM2
5507,DIP2C
5508,VBP1
5509,ANKRD52
5510,ZNF589
5511,GZMH
5512,CCNA1
5513,LRRC40
5514,TRIM29
5515,RNF148
5516,ATG4D
5517,ASAH1
5518,GPM6A
5519,NUP98
5520,ABCA13
5521,ANXA9
5522,PRMT8
5523,RBM45
5524,FSD1
5525,MAGOHB
5526,UACA
5527,ZNF277
5528,KPNA7
5529,BIRC7
5530,BTNL9
5531,IGSF3
5532,WBP1
5533,PPCDC
5534,ANK1
5535,SDR42E1
5536,NXF3
5537,WDR17
5538,NFKBIB
5539,EPO
5540,ADO
5541,UBA6
5542,CCDC92
5543,SCPEP1
5544,SOCS6
5545,FRMD3
5546,ASB8
5547,F10
5548,KRT36
5549,TIGD7
5550,C20orf27
5551,RGS9
5552,JMJD1C
5553,PGM2
5554,KCNJ5
5555,LRP5
5556,PUSL1
5557,TPD52L2
5558,SCG2
5559,SBK2
5560,TMEM65
5561,CEP350
5562,ITGA5
5563,AC009690.1
5564,CCDC130
5565,TACSTD2
5566,ORMDL3
5567,FAM208B
5568,TFF3
5569,DUPD1
5570,SAP25
5571,MROH2A
5572,DLX4
5573,GGCT
5574,OMD
5575,DCAF7
5576,ALX1
5577,AURKB
5578,ADAM11
5579,GPATCH8
5580,CHRFAM7A
5581,ATRAID
5582,ALG5
5583,PSPC1
5584,C9orf78
5585,RASD1
5586,ROCK1
5587,ALG9
5588,FAM13A
5589,AC090227.1
5590,BEX4
5591,PLIN2
5592,C1QTNF8
5593,PITX2
5594,SERAC1
5595,CD96
5596,RAPGEF1
5597,MRPS21
5598,STBD1
5599,HMGCS2
5600,ANKRD10
5601,PTPN5
5602,FAM84A
5603,PER1
5604,C2CD2
5605,CFAP100
5606,MYBPH
5607,UCKL1
5608,IFT81
5609,FAM122A
5610,GNAL
5611,TM7SF2
5612,C11orf65
5613,ATP6V1G2-DDX39B
5614,GPR176
5615,KIAA1324L
5616,UPK3A
5617,DCAF11
5618,BGN
5619,SULT1E1
5620,IGHV3OR16-10
5621,E2F7
5622,TBL2
5623,PARD6G
5624,FFAR1
5625,PLA2G4F
5626,CASTOR3
5627,SERPINC1
5628,CBX8
5629,GAS2L3
5630,JPH1
5631,DNAH10
5632,ZKSCAN5
5633,GPAA1
5634,C12orf76
5635,LARP4
5636,ARF5
5637,TNPO3
5638,LRRC29
5639,CENPK
5640,CCDC115
5641,EXD2
5642,ATP7A
5643,DOCK6
5644,IGHV4-28
5645,RIPPLY2
5646,FAM167B
5647,PTH2R
5648,CIR1
5649,GTF2E2
5650,ARPC5L
5651,AMIGO1
5652,FAM241A
5653,UQCRC1
5654,ZNF22
5655,AC009119.2
5656,ZNF397
5657,TRAV12-1
5658,SLC11A1
5659,SNAI3
5660,SEMA4D
5661,GSDMC
5662,HSD17B13
5663,WASHC2C
5664,BEST1
5665,DTX1
5666,STK19
5667,SYNGR3
5668,PIP4K2A
5669,GAL
5670,FAXDC2
5671,NOV
5672,PRPF19
5673,AC068946.1
5674,CCDC149
5675,CASTOR2
5676,EIF1B
5677,HHIP
5678,RHOC
5679,PRSS55
5680,HELLS
5681,C2orf72
5682,HIST1H3B
5683,ZNF70
5684,BSX
5685,CCDC78
5686,NMBR
5687,ACTR3
5688,DARS2
5689,FOXO6
5690,ASGR1
5691,KLHL17
5692,C2orf70
5693,MESP1
5694,UBE2O
5695,CPNE8
5696,C19orf66
5697,SMC1A
5698,MMP24OS
5699,HCST
5700,B4GALT4
5701,PRAG1
5702,SERINC5
5703,PRSS53
5704,SLC30A9
5705,C14orf132
5706,OR2T8
5707,SENP8
5708,BID
5709,UTRN
5710,FXYD3
5711,MPP2
5712,EYA2
5713,EEF1G
5714,HSD17B4
5715,BRIX1
5716,TMEM234
5717,NBPF1
5718,SOX11
5719,SRGAP3
5720,ZNF425
5721,SLC46A3
5722,MLC1
5723,PEX19
5724,CSTL1
5725,CAMKV
5726,TECPR1
5727,CABIN1
5728,PPIG
5729,HMOX2
5730,PRAP1
5731,ZNF536
5732,ARSB
5733,COL17A1
5734,RHOB
5735,DYDC1
5736,PSMD7
5737,STAG1
5738,DDX3X
5739,BPIFB1
5740,CES5A
5741,LRRC56
5742,POLR2L
5743,C1R
5744,LRRC39
5745,NLRC5
5746,ATF2
5747,RUNDC3B
5748,MFSD6L
5749,AL162377.3
5750,FBXO25
5751,TM2D1
5752,CNGA4
5753,MDGA1
5754,ZNF852
5755,PAEP
5756,ZC3H13
5757,GOLGA7
5758,HPCA
5759,CCL3L1
5760,ITPK1
5761,AC025287.4
5762,ZNF256
5763,RDM1
5764,ACADS
5765,CSF2
5766,SLC11A2
5767,POLR2K
5768,E2F4
5769,HPSE2
5770,SUN3
5771,RPL34
5772,TSN
5773,FGD4
5774,ROMO1
5775,PDE3A
5776,CYB561D1
5777,SLX4IP
5778,SLC30A1
5779,TBC1D16
5780,EXOC1
5781,CILP2
5782,PCDHGC3
5783,ANKRD39
5784,ZNF726
5785,MLPH
5786,HELB
5787,DNAJC25-GNG10
5788,ST20
5789,ASL
5790,PPP4R4
5791,PIK3CB
5792,AKT3
5793,LRRN4CL
5794,PSG9
5795,VAMP8
5796,FASN
5797,GYPC
5798,PRKCA
5799,SKI
5800,RAD51AP2
5801,HEPN1
5802,ADTRP
5803,ZNF688
5804,SAA1
5805,GCSAML
5806,SLU7
5807,VSTM5
5808,PHF3
5809,SLC26A9
5810,AC187653.1
5811,SLC35A4
5812,ZDHHC20
5813,WBP1L
5814,HPCAL1
5815,AC009086.2
5816,EFCAB5
5817,DNA2
5818,SMAD9
5819,SPAG7
5820,ESYT2
5821,IK
5822,ZFAT
5823,ETS1
5824,PM20D1
5825,RHD
5826,DNAJC30
5827,NR2E1
5828,PNO1
5829,DGAT2L6
5830,HUS1
5831,MUC1
5832,IL11
5833,UBC
5834,PALD1
5835,CASD1
5836,ZBTB25
5837,KLHDC3
5838,AC068547.1
5839,PTPRZ1
5840,ATP6V1F
5841,CYP19A1
5842,MCCC1
5843,EPDR1
5844,POGLUT1
5845,RTL6
5846,MID2
5847,ARHGAP33
5848,LILRA1
5849,TAPBPL
5850,SALL2
5851,DACT1
5852,KRT6C
5853,SECISBP2
5854,BTN1A1
5855,GFI1
5856,PAX9
5857,DHX58
5858,FLT1
5859,EIF4EBP2
5860,CSN2
5861,PRAMEF20
5862,CUL4A
5863,ENTPD8
5864,TMEM164
5865,RNPC3
5866,GIF
5867,GCC2
5868,WDR26
5869,ZFYVE1
5870,LETM1
5871,LDHB
5872,UBTF
5873,TSEN54
5874,PMM1
5875,ZMAT1
5876,ADAM22
5877,C10orf55
5878,ATP2B3
5879,C5orf52
5880,IGFL4
5881,NRBP2
5882,SEMA3B
5883,C19orf33
5884,FAM181A
5885,PKDCC
5886,OSBPL5
5887,RALY
5888,SERPINI1
5889,DYTN
5890,MMS22L
5891,C19orf44
5892,IGLV2-18
5893,ATP6V0C
5894,AC015802.6
5895,STS
5896,PIP4K2C
5897,ZBTB7A
5898,MRPL32
5899,GPD1
5900,GRM1
5901,CDX1
5902,LRRC74A
5903,RPL31
5904,VPS45
5905,CLECL1
5906,THBD
5907,ZNF274
5908,KAT2A
5909,PGBD2
5910,CYP4F12
5911,C12orf66
5912,SPSB2
5913,BIK
5914,PON3
5915,PLEKHM1
5916,ATF7
5917,OPN1SW
5918,DIMT1
5919,GIPC2
5920,YES1
5921,SLC31A2
5922,TENM1
5923,CCT2
5924,APOBR
5925,LPP
5926,HSPA12A
5927,RAB33A
5928,ANKRD62
5929,ITSN2
5930,PCBP2
5931,LARS2
5932,SLC30A10
5933,NEK11
5934,SRMS
5935,RHOD
5936,DDX21
5937,CCDC93
5938,NCR3
5939,TRAM1
5940,SLC2A2
5941,FAM57B
5942,TLNRD1
5943,MAB21L1
5944,FAM162A
5945,ASPH
5946,USP25
5947,ZNF718
5948,RTTN
5949,PHC2
5950,DYNLRB1
5951,WDR49
5952,G2E3
5953,POC1A
5954,RAVER2
5955,EMCN
5956,PPP1R3D
5957,ZNF518B
5958,VEZT
5959,MAGEA10
5960,MYPN
5961,PRPH
5962,AC008575.1
5963,SNRPA
5964,LLGL1
5965,EXD1
5966,HIST1H3E
5967,HSPG2
5968,PHYH
5969,RTN2
5970,TBX21
5971,RTL8B
5972,SRD5A3
5973,SUN2
5974,USP47
5975,TANGO2
5976,DENND2D
5977,MAT2A
5978,CRYGA
5979,HMGN4
5980,MEX3A
5981,SCN4B
5982,KIF5A
5983,NANP
5984,MYOT
5985,TRPC4
5986,HIST1H2AC
5987,MMP20
5988,ITPKB
5989,DHRS3
5990,IGFL1
5991,ZBTB42
5992,PDF
5993,ERN1
5994,ALG10B
5995,ACP5
5996,NUPR1
5997,AC068831.7
5998,LAD1
5999,IL17C
6000,DCLK1
6001,JARID2
6002,GNGT2
6003,SLC44A5
6004,ETF1
6005,ADH1C
6006,FAM178B
6007,PJA1
6008,ZFAND6
6009,GALK2
6010,PBRM1
6011,ARPP19
6012,TTC9C
6013,ORAOV1
6014,TXNDC16
6015,CFAP221
6016,ZIC5
6017,TMCC2
6018,AC068533.4
6019,COBL
6020,C12orf54
6021,TCTN2
6022,SLC25A30
6023,ZNF730
6024,MKRN2OS
6025,CCT4
6026,FAM135B
6027,CCR10
6028,TK2
6029,AP5Z1
6030,KCNB2
6031,BRI3
6032,COG4
6033,MARK4
6034,THAP1
6035,ZBTB37
6036,LLGL2
6037,TMEM163
6038,GPD2
6039,JAG2
6040,STRN
6041,APOBEC3G
6042,FIZ1
6043,NBPF12
6044,PTP4A3
6045,HSD11B2
6046,FCAMR
6047,ERCC6
6048,PF4V1
6049,CYB5RL
6050,CLINT1
6051,AMMECR1L
6052,AC140504.1
6053,TAF9
6054,IGLV5-48
6055,CYP24A1
6056,CLCN6
6057,ACOD1
6058,HEATR6
6059,C16orf91
6060,SRCAP
6061,EGFL6
6062,AC011498.4
6063,HMGCL
6064,ADAMTS17
6065,ACSL1
6066,COPRS
6067,TMEM268
6068,RCOR3
6069,TCEA1
6070,PRB3
6071,ETV3
6072,TYSND1
6073,CBL
6074,PUS7
6075,ANAPC10
6076,PML
6077,GLRX5
6078,CSK
6079,SVOPL
6080,CCDC91
6081,VAV2
6082,ANO2
6083,LAMTOR2
6084,NTM
6085,RERGL
6086,MAPKBP1
6087,TENT5C
6088,RBM27
6089,GALNT16
6090,CCDC17
6091,ZCCHC18
6092,WDR24
6093,SLC38A5
6094,CYP2A7
6095,CLDN5
6096,TARM1
6097,SPDYE2B
6098,KIAA1210
6099,ACCS
6100,DEFB104A
6101,ELMO1
6102,TBC1D3
6103,PRELID3A
6104,PLA2G12B
6105,FRMPD1
6106,ZNF430
6107,AC010646.1
6108,SLC12A6
6109,NPDC1
6110,THEMIS
6111,THAP2
6112,LZTS2
6113,EEF1E1
6114,ASS1
6115,SREK1IP1
6116,GALNT9
6117,TMEM250
6118,AC010522.1
6119,LEMD3
6120,ZNF738
6121,CENPB
6122,CHIC2
6123,ARMH4
6124,ANP32E
6125,DRD3
6126,FMNL3
6127,GNAI2
6128,CEPT1
6129,TMEM106C
6130,SHCBP1L
6131,SERPINB9
6132,DKKL1
6133,TPBGL
6134,MPP4
6135,TTC25
6136,PCK2
6137,HBQ1
6138,KRTCAP3
6139,ZNF404
6140,AKAP13
6141,IGKV3D-20
6142,TERF2IP
6143,NFYC
6144,NME9
6145,NR0B2
6146,FMR1
6147,ICMT
6148,NRG2
6149,MAPK8
6150,ISLR
6151,SLC29A3
6152,LTA4H
6153,MPV17L2
6154,MGAM
6155,HSDL2
6156,MTREX
6157,SLC35G4
6158,TTC33
6159,ZHX1-C8orf76
6160,RPL35A
6161,ZNF711
6162,RCN1
6163,AL592183.1
6164,EXOC2
6165,GATA1
6166,CLTC
6167,PCDH11Y
6168,RILPL2
6169,KIAA1614
6170,RPP14
6171,DLX2
6172,MCRIP2
6173,PSMB5
6174,CLRN2
6175,BTC
6176,ELF1
6177,GUCA1B
6178,FAM171A2
6179,UBXN6
6180,EBF1
6181,AC118553.2
6182,SHH
6183,AC026464.3
6184,TMEM236
6185,BACE2
6186,C9orf57
6187,IGKV1-37
6188,RBP7
6189,CATIP
6190,PYGM
6191,SDC1
6192,NUP85
6193,MYO1H
6194,AL355987.3
6195,OR7C1
6196,ANKK1
6197,MFSD4A
6198,ZNF813
6199,POLN
6200,RPS2
6201,AES
6202,SPPL2B
6203,GPRASP1
6204,TFDP2
6205,MAFK
6206,ARSE
6207,PIK3R6
6208,CCDC7
6209,AC008758.1
6210,DEFB134
6211,ZNF563
6212,MICB
6213,GTF2H2
6214,ZNF510
6215,ZNF283
6216,MAPKAPK5
6217,LPCAT4
6218,MSL1
6219,WDSUB1
6220,RAB5A
6221,PSMA6
6222,F12
6223,FAM50A
6224,TCAIM
6225,USF1
6226,TIFAB
6227,ASXL2
6228,RNPEPL1
6229,NEIL2
6230,CDKN3
6231,GNS
6232,NAGLU
6233,UBA3
6234,AC108941.2
6235,ARSG
6236,COA6
6237,KAZALD1
6238,WARS
6239,STX12
6240,BEST4
6241,SP2
6242,PDCL2
6243,ANKRD23
6244,SAMD5
6245,SMIM20
6246,MOGS
6247,TRMT1
6248,PNMA6A
6249,ZNRF3
6250,TOR1AIP2
6251,PPP1R3E
6252,SNCA
6253,SNUPN
6254,BDP1
6255,BOC
6256,ELOVL1
6257,EPHA5
6258,FRS3
6259,ZNF33A
6260,ZFP69B
6261,EPPK1
6262,ACTR1A
6263,FOXP4
6264,BRD9
6265,NAA30
6266,AC004223.3
6267,LIMS1
6268,ZC3H10
6269,CIDEB
6270,BNIP3L
6271,APPL1
6272,ATP1B1
6273,RHOXF1
6274,TRADD
6275,YARS2
6276,VWA8
6277,AC093525.2
6278,RARS2
6279,AKAP9
6280,LRGUK
6281,LRRK2
6282,HOXA2
6283,MESP2
6284,PLAC1
6285,THBS4
6286,TSPAN33
6287,SPACA5
6288,TRAK1
6289,FLCN
6290,LUZP1
6291,AC067968.1
6292,PLXNB2
6293,NR3C2
6294,EXOSC3
6295,PRAME
6296,ECHS1
6297,FP565260.1
6298,SERPINH1
6299,CACNB4
6300,KCNE2
6301,AC012651.1
6302,SERPINA3
6303,FCRL1
6304,PES1
6305,SLA2
6306,CAST
6307,PIK3R3
6308,ANHX
6309,ADAM12
6310,PKP1
6311,C9
6312,CDO1
6313,SYNE1
6314,PKIA
6315,MS4A14
6316,PGAP3
6317,FAM120AOS
6318,BLOC1S2
6319,GCA
6320,SZT2
6321,CCDC167
6322,MAOA
6323,AGXT2
6324,CALB2
6325,TMEM74B
6326,EXOSC5
6327,PLA2G4E
6328,UQCRQ
6329,GABRG2
6330,TMEM116
6331,NME7
6332,CERCAM
6333,SGIP1
6334,TOMM40L
6335,POLD2
6336,CTTNBP2NL
6337,UBE2K
6338,RIIAD1
6339,LRRC71
6340,RAB6C
6341,COX5A
6342,MIDN
6343,VNN3
6344,MROH7-TTC4
6345,ANXA10
6346,MRVI1
6347,RABIF
6348,ISG15
6349,AD000671.1
6350,SERPINA10
6351,KCNC1
6352,SH2D2A
6353,SLC39A11
6354,SNRPD1
6355,ZNF844
6356,GLP2R
6357,PRKD2
6358,ZER1
6359,KAZN
6360,AMTN
6361,TRIR
6362,SYNE4
6363,VPS37D
6364,ZNF230
6365,GNA14
6366,KIF5C
6367,HERC2
6368,TRIM36
6369,KCND3
6370,TMTC1
6371,LPL
6372,GP5
6373,DCSTAMP
6374,SLC9C1
6375,ATP8A1
6376,AC098650.1
6377,TMEM241
6378,NEK8
6379,SERINC3
6380,DMTF1
6381,KDELR2
6382,MTUS2
6383,CEP76
6384,C8orf88
6385,RPS4Y1
6386,EXOSC6
6387,UNC5B
6388,SDHA
6389,VPS53
6390,UBE2H
6391,PDAP1
6392,GXYLT2
6393,TLE4
6394,APOC2
6395,PACS1
6396,AC098850.3
6397,PALM3
6398,HIRIP3
6399,XPOT
6400,KIAA0319
6401,SLX1A
6402,APPL2
6403,STRN4
6404,SLC34A1
6405,MARCH5
6406,COPE
6407,EIF4A2
6408,WIPI1
6409,SUSD5
6410,COPS2
6411,SSNA1
6412,DEPP1
6413,SAPCD2
6414,SAMD7
6415,TNRC6A
6416,CCDC159
6417,AP3B2
6418,RAB27A
6419,MYO19
6420,VAMP7
6421,AC010255.3
6422,GPSM1
6423,C19orf48
6424,ELP1
6425,SLC6A5
6426,ZFYVE28
6427,ZNF205
6428,MTHFS
6429,TIPARP
6430,ANKRD44
6431,NFIX
6432,TIMP2
6433,ATP5F1B
6434,RASGEF1A
6435,C11orf54
6436,SLC18A1
6437,SLC6A13
6438,ZNF646
6439,DCAF1
6440,KANSL1
6441,CYTIP
6442,CDK17
6443,FAM98A
6444,MRM1
6445,PDZK1
6446,RNFT2
6447,LRCH2
6448,USP19
6449,SMARCA1
6450,USP34
6451,AL358113.1
6452,DRC7
6453,SCUBE1
6454,VPS51
6455,COLEC11
6456,AC083800.1
6457,LACTBL1
6458,MAP2K2
6459,OR8A1
6460,NSMCE1
6461,BRD7
6462,DNAJB5
6463,KRBA2
6464,HADH
6465,NIPSNAP1
6466,MORN4
6467,APOLD1
6468,DNAJC11
6469,UTP23
6470,PHACTR4
6471,SRRM3
6472,MCUR1
6473,ZNF554
6474,FLYWCH2
6475,MALSU1
6476,FAM72C
6477,ANAPC7
6478,ABHD10
6479,C22orf15
6480,UPF2
6481,ODAPH
6482,C1orf112
6483,ASCL5
6484,SPATA5
6485,ZNF48
6486,SYP
6487,RBM17
6488,WDR31
6489,NAA10
6490,MMADHC
6491,GADD45B
6492,BRCA1
6493,ARPIN
6494,DDC
6495,IGKV3-11
6496,ADGRD2
6497,PPM1N
6498,DOCK2
6499,FZD4
6500,TMIGD2
6501,JUND
6502,ZNF570
6503,CTPS2
6504,TKTL1
6505,MED20
6506,TMIGD1
6507,COMMD2
6508,RAB6B
6509,ONECUT3
6510,TBCK
6511,DYNLT3
6512,ZDHHC2
6513,CDCA7L
6514,GSDMB
6515,FOXJ1
6516,USH1C
6517,ECPAS
6518,AC010325.1
6519,RBP1
6520,MAP3K14
6521,C12orf65
6522,TM9SF2
6523,TRIM77
6524,TRIM62
6525,IGKV1-27
6526,PITHD1
6527,EPRS
6528,NME8
6529,FAM185A
6530,ZNF670-ZNF695
6531,GOLGA8R
6532,CD58
6533,KAT2B
6534,PPP1CC
6535,ZXDC
6536,SYCP1
6537,FGFBP3
6538,TCL1A
6539,FAM229A
6540,SLC30A8
6541,FAM91A1
6542,AKNAD1
6543,NT5C1A
6544,HPD
6545,NOA1
6546,RFPL1
6547,EPYC
6548,ZNF513
6549,SOX9
6550,SNX21
6551,CYTH4
6552,OGFRL1
6553,TCEANC2
6554,ERH
6555,NEB
6556,PTH
6557,FER1L6
6558,RNMT
6559,SNX5
6560,B3GNT8
6561,ZGLP1
6562,SIRPB2
6563,ISG20
6564,MS4A10
6565,UBA1
6566,TUBB6
6567,NUDC
6568,ZBTB33
6569,CLDN14
6570,ITGAE
6571,TAS2R38
6572,AL512506.3
6573,HSPA12B
6574,CD8A
6575,NMT2
6576,FAM186A
6577,NPFFR1
6578,BBX
6579,EDNRB
6580,CACNG7
6581,ZNF415
6582,OLFML2B
6583,AC007040.2
6584,GSTA5
6585,CCL2
6586,ZDHHC22
6587,CD177
6588,OGN
6589,GOSR1
6590,GPT
6591,MSS51
6592,SLC39A8
6593,SIRT5
6594,B4GALNT1
6595,AOC1
6596,TKFC
6597,FAM187B
6598,TBC1D9B
6599,PPEF2
6600,MEPCE
6601,BCAS2
6602,RAB40A
6603,GPR37
6604,MBD4
6605,RABGAP1
6606,NPC1
6607,GMEB1
6608,PTPRG
6609,LANCL2
6610,MAGT1
6611,PLCD1
6612,NUMA1
6613,AC106782.1
6614,BORCS5
6615,AIFM3
6616,XYLB
6617,CLTRN
6618,KCNB1
6619,SPACA3
6620,ACKR4
6621,CBLB
6622,USP8
6623,C11orf96
6624,ZFAND3
6625,C1orf94
6626,NAB1
6627,MED12L
6628,CASKIN1
6629,TRIM44
6630,ZBTB40
6631,BBOX1
6632,AC015688.4
6633,FUT11
6634,MCM3
6635,ZNF487
6636,MRPL53
6637,TSHZ2
6638,DNASE1L3
6639,SOSTDC1
6640,ZNF585B
6641,FBXO15
6642,KRT19
6643,IGSF8
6644,RBM33
6645,GOLGA6L9
6646,HTR1F
6647,HMBOX1
6648,CGB1
6649,BSN
6650,POGK
6651,LZIC
6652,RAB13
6653,DNAH8
6654,DSPP
6655,APOB
6656,MET
6657,CTBP1
6658,MRPL30
6659,KLHL42
6660,PODNL1
6661,DMAC1
6662,CLYBL
6663,U2SURP
6664,RPGR
6665,RHPN2
6666,GPR173
6667,CFAP97D2
6668,USP49
6669,HAND2
6670,AR
6671,DRG1
6672,RNF103
6673,MAGEE1
6674,SLC39A10
6675,FAM161B
6676,ZFAND2A
6677,CSNK2A3
6678,FOXM1
6679,MUM1
6680,KPNA2
6681,SLC36A2
6682,FOXD4L1
6683,BBS12
6684,KRT18
6685,OBP2A
6686,SLC25A38
6687,ZNF534
6688,EDDM3A
6689,ADAD2
6690,ERBB4
6691,CDKL2
6692,PROK2
6693,GMIP
6694,XIRP1
6695,RHBDF1
6696,ZNF85
6697,HOXA13
6698,MAP3K10
6699,RBM5
6700,PLRG1
6701,SHE
6702,AC025283.3
6703,UBE2L3
6704,TRPA1
6705,ACTL6B
6706,GLUD2
6707,DAZL
6708,FRMD7
6709,NAT2
6710,SLC19A2
6711,RAET1L
6712,SURF1
6713,RIOX2
6714,IL18RAP
6715,SEMA5B
